行政区,坐标,数量
奉贤区,"121.558244,30.934137",47
奉贤区,"121.558244,30.925137",73
奉贤区,"121.558244,30.916137",15
奉贤区,"121.558244,30.907137",6
奉贤区,"121.558244,30.898137",1
奉贤区,"121.558244,30.889137",4
奉贤区,"121.558244,30.880137",10
奉贤区,"121.558244,30.871137",16
奉贤区,"121.558244,30.862137",79
奉贤区,"121.558244,30.853137",23
奉贤区,"121.558244,30.844137",4
奉贤区,"121.558244,30.835137",7
奉贤区,"121.558244,30.826137",6
奉贤区,"121.558244,30.817137",6
奉贤区,"121.567244,30.997137",2
奉贤区,"121.567244,30.988137",173
奉贤区,"121.567244,30.979137",244
奉贤区,"121.567244,30.970137",19
奉贤区,"121.567244,30.961137",4
奉贤区,"121.567244,30.952137",5
奉贤区,"121.567244,30.943137",2
奉贤区,"121.567244,30.934137",10
奉贤区,"121.567244,30.925137",126
奉贤区,"121.567244,30.916137",18
奉贤区,"121.567244,30.907137",3
奉贤区,"121.567244,30.898137",3
奉贤区,"121.567244,30.889137",5
奉贤区,"121.567244,30.880137",7
奉贤区,"121.567244,30.871137",27
